interaction,stability,new_stability,Diff
-1.184228369995645,0.32,0.34722222222222215,-0.027222222222222148
-0.9335404450797132,0.24,0.2604166666666667,-0.020416666666666694
-1.1823291829525495,0.24,0.21701388888888892,0.02298611111111107
-0.0759218048962685,0.2,0.13020833333333334,0.06979166666666667
-0.2133177319210956,0.2,0.17361111111111108,0.026388888888888934
-0.2948182646134531,0.16,0.13020833333333334,0.02979166666666666
-0.1301145535734225,0.24,0.17361111111111108,0.06638888888888891
-0.216891321252729,0.28,0.2604166666666667,0.01958333333333334
-0.5532333602419441,0.2,0.17361111111111108,0.026388888888888934
-0.2884214551720035,0.24,0.21701388888888892,0.02298611111111107
-0.3406318143530712,0.24,0.21701388888888892,0.02298611111111107
-0.2481987801035328,0.24,0.13020833333333334,0.10979166666666665
-0.5174936624549673,0.36,0.21701388888888892,0.14298611111111106
