stability,resistance_invasion,resistance_environment,total_positive_up,mean_positive_up,total_negative_up,mean_negative_up,degree_up,total_positive_down,mean_positive_down,total_negative_down,mean_negative_down,degree_down,total_positive_trans,mean_positive_trans,total_negative_trans,mean_negative_trans,degree_trans,mu,rho,richness_up,richness_down
0.4,0.4,0.0,4.167669999999999,0.24515705882352945,2.374441,0.1826493076923077,5.0,0.0,0.0,0.5324789999999999,0.2662395,1.0,0.8695580000000002,0.14492633333333335,0.8503529999999999,0.14172549999999998,6.0,0.0,0.0,7,4
0.32,0.32,0.0,0.6819529999999999,0.17048825,1.378398,0.17229975,3.0,0.0,0.0,0.5324789999999999,0.2662395,1.0,0.378407,0.09460175,0.8071389999999999,0.20178475,4.0,0.0,0.0,12,4
0.64,0.64,0.0,12.590972,0.2030801935483871,9.109733,0.18978610416666666,10.0,6.2031220000000005,0.20010070967741933,5.730641,0.22922564,7.0,8.162827,0.17005889583333333,11.004985000000001,0.275124625,11.0,0.0,0.0,8,4
0.68,0.68,0.0,11.367769,0.21861094230769232,6.5057089999999995,0.17120286842105265,9.0,6.2031220000000005,0.20010070967741933,5.730641,0.22922564,7.0,6.914967999999999,0.1920824444444444,10.570383,0.2402359772727273,10.0,0.0,0.0,9,4
0.52,0.52,0.0,10.403766999999998,0.20807534,9.319375,0.232984375,9.0,6.2031220000000005,0.20010070967741933,5.730641,0.22922564,7.0,7.8462130000000005,0.18247006976744184,10.317776,0.2788588108108108,10.0,0.0,0.0,7,4
0.64,0.64,0.0,4.917929,0.22354222727272727,5.6455389999999985,0.16604526470588232,7.0,7.176186,0.2050338857142857,2.8601420000000006,0.13619723809523812,7.0,8.177344999999999,0.2271484722222222,5.74063,0.2050225,8.0,0.0,0.0,12,4
0.64,0.64,0.0,16.488687,0.20356403703703704,15.457548999999998,0.20610065333333333,12.0,7.176186,0.2050338857142857,2.8601420000000006,0.13619723809523812,7.0,11.537543,0.22187582692307686,12.179482,0.2342208076923077,13.0,0.0,0.0,10,4
0.68,0.68,0.0,6.229157,0.2224698928571429,4.140951,0.14789110714285714,7.0,7.176186,0.2050338857142857,2.8601420000000006,0.13619723809523812,7.0,6.997406,0.1999258857142857,7.404469999999999,0.2553265517241379,8.0,0.0,0.0,7,4
0.6,0.6,0.0,3.831645,0.2016655263157895,4.931271,0.2144030869565217,6.0,7.176186,0.2050338857142857,2.8601420000000006,0.13619723809523812,7.0,6.4692099999999995,0.22307620689655172,6.277998,0.23251844444444444,7.0,0.0,0.0,10,2
0.6,0.6,0.0,4.872103,0.24360515,7.151655999999999,0.1986571111111111,7.0,7.176186,0.2050338857142857,2.8601420000000006,0.13619723809523812,7.0,7.552646000000001,0.21578988571428573,7.479405999999999,0.2579105517241379,8.0,0.0,0.0,8,2
0.68,0.68,0.0,2.431222,0.18701707692307687,1.091766,0.15596657142857145,4.0,7.176186,0.2050338857142857,2.8601420000000006,0.13619723809523812,7.0,5.4529489999999985,0.30294161111111106,3.7643970000000007,0.17110895454545458,5.0,0.0,0.0,7,2
0.24,0.24,0.0,9.139915,0.20772534090909087,7.765771000000001,0.16882110869565214,9.0,0.0,0.0,0.0,0.0,0.0,0.7283149999999999,0.14566300000000001,0.6303259999999999,0.12606520000000002,10.0,0.0,0.0,9,2
0.44,0.44,0.0,10.567961999999998,0.2032300384615384,9.213905,0.15886043103448275,10.0,0.0,0.0,0.0,0.0,0.0,0.935155,0.116894375,0.6691729999999999,0.22305766666666665,11.0,0.0,0.0,10,2
0.32,0.32,0.0,2.179336,0.1452890666666667,2.846152,0.18974346666666664,5.0,0.0,0.0,0.0,0.0,0.0,0.096205,0.048102500000000006,0.368117,0.09202925,6.0,0.0,0.0,9,2
0.48,0.48,0.0,12.594749,0.1999166507936508,13.890339999999998,0.2013092753623188,11.0,0.0,0.0,0.0,0.0,0.0,1.0727,0.15324285714285715,0.773347,0.15466939999999998,12.0,0.0,0.0,9,2
0.6,0.6,0.0,9.041175,0.25114375,5.930989,0.16474969444444446,8.0,0.0,0.0,0.0,0.0,0.0,0.5506460000000001,0.09177433333333336,0.40244,0.13414666666666664,9.0,0.0,0.0,8,2
0.32,0.32,0.0,12.320723,0.18667762121212125,10.327997,0.15648480303030302,11.0,0.0,0.0,0.0,0.0,0.0,0.689503,0.09850042857142856,0.33913000000000004,0.06782600000000001,12.0,0.0,0.0,6,2
0.44,0.44,0.0,20.713109,0.19002852293577985,19.560938000000004,0.19367265346534654,14.0,0.0,0.0,0.0,0.0,0.0,1.251832,0.17883314285714286,1.169187,0.146148375,15.0,0.0,0.0,12,2
